Country,CountryFull,InsuranceID,MarketingConsent,MarketingConsentStartDate,LoyaltyConsent,LoyaltyConsentStartDate,ThirdPartyConsent,ThirdPartyConsentStartDate
CA,Canada,63765313,NO,1900-01-01,YES,2016-01-16,YES,2016-04-23
CY,Cyprus (Greek),23989306,YES,2016-12-01,YES,2016-01-26,YES,2017-06-13
HU,Hungary,37748293,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,32950540,YES,2016-10-24,YES,2017-01-14,NO,1900-01-01
PT,Portugal,78880747,NO,1900-01-01,YES,2016-06-25,YES,2016-04-04
GL,Greenland,87779990,NO,1900-01-01,NO,1900-01-01,YES,2016-03-06
CZ,Czech Republic,8698759,YES,2016-08-13,NO,1900-01-01,YES,2016-12-22
PL,Poland,5898798,YES,2017-01-26,YES,2017-04-22,NO,1900-01-01
CZ,Czech Republic,51534057,NO,1900-01-01,YES,2016-04-13,YES,2016-08-28
SE,Sweden,58974290,YES,2017-02-08,NO,1900-01-01,NO,1900-01-01
US,United States,54503321,NO,1900-01-01,YES,2017-02-10,NO,1900-01-01
SI,Slovenia,71301839,YES,2016-12-18,NO,1900-01-01,YES,2016-12-28
CA,Canada,86285657,NO,1900-01-01,NO,1900-01-01,YES,2016-09-06
NZ,New Zealand,37950990,YES,2017-07-17,YES,2017-03-23,YES,2017-05-14
HU,Hungary,27097084,YES,2016-10-28,YES,2016-03-24,NO,1900-01-01
SE,Sweden,99165010,NO,1900-01-01,YES,2017-05-10,YES,2017-05-03
SE,Sweden,1651108,NO,1900-01-01,YES,2016-09-19,YES,2016-02-16
NL,Netherlands,55639654,YES,2016-06-03,NO,1900-01-01,NO,1900-01-01
CH,Switzerland,99980302,YES,2016-08-31,YES,2017-06-10,YES,2016-05-14
NZ,New Zealand,47369744,NO,1900-01-01,YES,2017-06-02,NO,1900-01-01
US,United States,27448971,YES,2016-05-09,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,99087245,NO,1900-01-01,NO,1900-01-01,YES,2016-10-30
CZ,Czech Republic,96113415,NO,1900-01-01,YES,2016-01-31,YES,2016-01-18
IT,Italy,81790295,YES,2016-09-29,YES,2016-04-10,YES,2017-05-10
ES,Spain,84313213,YES,2016-07-21,YES,2016-03-18,YES,2016-02-12
IS,Iceland,42207547,NO,1900-01-01,YES,2017-07-25,NO,1900-01-01
PL,Poland,88687479,NO,1900-01-01,NO,1900-01-01,YES,2017-01-11
AT,Austria,80842832,YES,2016-06-05,NO,1900-01-01,YES,2016-07-20
ES,Spain,73883455,YES,2017-03-29,YES,2016-11-09,YES,2016-08-12
CY,Cyprus (Greek),51059964,YES,2017-05-29,NO,1900-01-01,YES,2016-07-24
PT,Portugal,8352679,YES,2017-04-03,YES,2016-01-23,YES,2016-09-21
UY,Uruguay,61631546,NO,1900-01-01,YES,2016-09-23,NO,1900-01-01
CY,Cyprus (Greek),48966065,YES,2016-05-11,NO,1900-01-01,YES,2016-08-02
CH,Switzerland,88472455,YES,2017-05-23,NO,1900-01-01,YES,2017-05-14
ES,Spain,51899339,NO,1900-01-01,NO,1900-01-01,YES,2017-02-25
CH,Switzerland,49107548,NO,1900-01-01,NO,1900-01-01,YES,2017-07-02
DE,Germany,61079732,NO,1900-01-01,NO,1900-01-01,YES,2016-06-27
CH,Switzerland,23203933,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
TN,Tunisia,70980897,YES,2016-04-09,YES,2016-09-25,YES,2017-05-10
NL,Netherlands,61907873,NO,1900-01-01,YES,2017-01-24,YES,2016-03-27
PT,Portugal,20114364,NO,1900-01-01,NO,1900-01-01,YES,2016-06-18
AU,Australia,1638938,YES,2017-05-10,NO,1900-01-01,NO,1900-01-01
TN,Tunisia,88454092,NO,1900-01-01,YES,2016-08-03,YES,2017-04-23
CA,Canada,35257963,NO,1900-01-01,YES,2016-03-03,YES,2016-09-04
IS,Iceland,34575591,YES,2017-04-14,NO,1900-01-01,NO,1900-01-01
EE,Estonia,31216315,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PL,Poland,35699534,NO,1900-01-01,YES,2016-05-11,YES,2016-12-15
NL,Netherlands,61693332,YES,2016-10-03,YES,2016-06-21,YES,2017-01-17
AT,Austria,33168103,YES,2017-01-09,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,802176,YES,2017-01-24,YES,2017-04-15,NO,1900-01-01
BE,Belgium,24543362,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Anglicized),50953222,YES,2017-01-04,NO,1900-01-01,YES,2017-04-26
UY,Uruguay,74851914,YES,2017-04-28,NO,1900-01-01,NO,1900-01-01
ES,Spain,81792582,NO,1900-01-01,YES,2016-09-14,NO,1900-01-01
IT,Italy,39957134,NO,1900-01-01,YES,2016-12-12,YES,2016-02-04
CZ,Czech Republic,24510678,YES,2017-01-26,YES,2016-03-21,NO,1900-01-01
NZ,New Zealand,76168160,YES,2016-11-30,NO,1900-01-01,NO,1900-01-01
BR,Brazil,43512357,YES,2017-07-29,NO,1900-01-01,YES,2016-07-13
EE,Estonia,31651626,YES,2017-04-27,NO,1900-01-01,YES,2016-09-15
TN,Tunisia,83126707,NO,1900-01-01,YES,2016-10-27,NO,1900-01-01
EE,Estonia,71354876,NO,1900-01-01,YES,2016-03-26,NO,1900-01-01
BR,Brazil,66522032,YES,2016-03-11,NO,1900-01-01,NO,1900-01-01
CA,Canada,352570,YES,2016-11-28,NO,1900-01-01,NO,1900-01-01
ZA,South Africa,3754598,NO,1900-01-01,YES,2017-06-19,YES,2017-02-07
CY,Cyprus (Greek),38629810,YES,2016-08-07,YES,2017-01-26,NO,1900-01-01
DK,Denmark,99057445,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),57162002,NO,1900-01-01,YES,2016-10-22,YES,2016-06-23
US,United States,2777376,NO,1900-01-01,NO,1900-01-01,YES,2017-07-16
BE,Belgium,92189641,NO,1900-01-01,NO,1900-01-01,YES,2016-01-24
AU,Australia,55506808,YES,2016-05-06,NO,1900-01-01,YES,2016-01-07
FI,Finland,8661721,NO,1900-01-01,NO,1900-01-01,YES,2017-05-01
GL,Greenland,18992310,NO,1900-01-01,YES,2017-04-16,YES,2016-08-31
ZA,South Africa,3181839,YES,2016-07-02,YES,2016-11-16,YES,2016-07-26
AT,Austria,37346947,NO,1900-01-01,YES,2016-11-28,NO,1900-01-01
DK,Denmark,99517788,NO,1900-01-01,NO,1900-01-01,YES,2016-11-16
FR,France,98295355,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
NL,Netherlands,30015157,NO,1900-01-01,YES,2016-09-10,NO,1900-01-01
IS,Iceland,81650873,YES,2016-04-14,NO,1900-01-01,YES,2017-04-27
SE,Sweden,71668482,NO,1900-01-01,YES,2017-04-10,YES,2017-03-25
DK,Denmark,58518514,YES,2017-01-05,YES,2016-07-03,NO,1900-01-01
CA,Canada,99169875,YES,2016-03-02,NO,1900-01-01,YES,2017-03-26
NL,Netherlands,16366442,YES,2017-04-30,NO,1900-01-01,YES,2017-03-26
GL,Greenland,89081997,NO,1900-01-01,YES,2016-04-17,NO,1900-01-01
ES,Spain,78569893,NO,1900-01-01,YES,2017-06-09,YES,2016-06-25
HU,Hungary,23056755,YES,2017-01-07,NO,1900-01-01,YES,2016-08-06
SI,Slovenia,23894431,NO,1900-01-01,YES,2017-06-01,YES,2016-09-26
IS,Iceland,12143615,NO,1900-01-01,NO,1900-01-01,YES,2017-02-11
GL,Greenland,78489938,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
GL,Greenland,89919325,YES,2017-01-29,YES,2017-05-03,YES,2016-07-02
CY,Cyprus (Anglicized),22592052,NO,1900-01-01,YES,2016-11-09,NO,1900-01-01
HU,Hungary,67322339,YES,2017-01-31,NO,1900-01-01,YES,2016-06-19
IS,Iceland,32680228,YES,2016-10-08,NO,1900-01-01,YES,2017-06-03
CH,Switzerland,92179330,YES,2016-09-23,YES,2017-02-08,YES,2017-03-15
UY,Uruguay,32322799,YES,2016-01-28,NO,1900-01-01,YES,2016-03-14
ZA,South Africa,24381925,NO,1900-01-01,YES,2017-01-01,YES,2016-04-21
ZA,South Africa,20024344,YES,2017-02-08,YES,2017-05-02,NO,1900-01-01
SE,Sweden,83501258,YES,2016-02-04,NO,1900-01-01,YES,2016-03-30
TN,Tunisia,48337982,NO,1900-01-01,YES,2017-07-14,YES,2017-05-11
IS,Iceland,3791599,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IT,Italy,73592552,NO,1900-01-01,NO,1900-01-01,YES,2017-01-02
NO,Norway,40592029,NO,1900-01-01,NO,1900-01-01,YES,2016-12-09
US,United States,49790971,YES,2016-05-06,YES,2016-08-26,NO,1900-01-01
CY,Cyprus (Anglicized),93159966,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
SI,Slovenia,88482755,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,79597556,NO,1900-01-01,YES,2017-06-29,YES,2017-02-17
GL,Greenland,81935130,YES,2017-03-19,NO,1900-01-01,YES,2016-04-18
SE,Sweden,76822994,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
TN,Tunisia,49592204,YES,2016-07-07,NO,1900-01-01,YES,2017-03-16
TN,Tunisia,77807450,YES,2016-04-14,YES,2016-03-29,YES,2017-04-30
IT,Italy,67787101,YES,2017-04-02,NO,1900-01-01,YES,2016-08-01
NO,Norway,42994474,YES,2016-11-28,NO,1900-01-01,NO,1900-01-01
US,United States,32877674,YES,2017-06-02,YES,2016-07-26,YES,2016-10-19
GB,United Kingdom,6724734,NO,1900-01-01,YES,2016-03-14,NO,1900-01-01
GL,Greenland,84090956,NO,1900-01-01,NO,1900-01-01,YES,2016-11-18
SI,Slovenia,61823211,YES,2016-04-19,YES,2016-08-26,YES,2016-12-26
CY,Cyprus (Anglicized),12231441,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
US,United States,17372133,NO,1900-01-01,NO,1900-01-01,YES,2016-03-11
DE,Germany,36632661,NO,1900-01-01,NO,1900-01-01,YES,2017-04-06
CY,Cyprus (Anglicized),90198925,NO,1900-01-01,NO,1900-01-01,YES,2017-01-24
NZ,New Zealand,71214944,YES,2016-09-27,YES,2017-05-30,NO,1900-01-01
CY,Cyprus (Anglicized),45513460,NO,1900-01-01,YES,2016-08-01,NO,1900-01-01
FR,France,21873366,NO,1900-01-01,NO,1900-01-01,YES,2017-03-25
HU,Hungary,86504708,NO,1900-01-01,YES,2016-07-16,YES,2016-10-01
FI,Finland,1173866,NO,1900-01-01,YES,2016-06-11,YES,2016-10-15
BR,Brazil,37099171,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FR,France,70342351,NO,1900-01-01,YES,2017-01-01,NO,1900-01-01
SI,Slovenia,80562811,YES,2017-07-22,YES,2017-03-09,NO,1900-01-01
AT,Austria,68883398,YES,2016-09-19,NO,1900-01-01,YES,2016-01-12
IT,Italy,22307693,YES,2017-03-25,YES,2016-09-15,YES,2016-03-06
PL,Poland,35278170,YES,2017-07-30,YES,2017-04-21,NO,1900-01-01
FI,Finland,76890355,NO,1900-01-01,YES,2016-06-26,NO,1900-01-01
PT,Portugal,17378814,NO,1900-01-01,NO,1900-01-01,YES,2016-01-05
FR,France,36651480,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,26422913,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
HU,Hungary,25023416,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
FI,Finland,23588136,NO,1900-01-01,YES,2016-04-21,NO,1900-01-01
CZ,Czech Republic,54869359,YES,2016-05-06,YES,2017-05-09,YES,2016-02-10
BR,Brazil,14356706,NO,1900-01-01,YES,2017-05-20,NO,1900-01-01
EE,Estonia,54714461,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,3649290,YES,2017-01-23,YES,2016-05-17,NO,1900-01-01
PL,Poland,33133209,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PT,Portugal,51867314,YES,2016-06-05,NO,1900-01-01,YES,2016-12-11
DK,Denmark,86507274,YES,2017-02-27,NO,1900-01-01,NO,1900-01-01
IS,Iceland,99763504,YES,2017-03-31,YES,2017-02-19,NO,1900-01-01
CA,Canada,89508620,NO,1900-01-01,YES,2016-09-11,YES,2016-01-15
BR,Brazil,85169403,YES,2017-04-20,NO,1900-01-01,NO,1900-01-01
GB,United Kingdom,74786541,NO,1900-01-01,NO,1900-01-01,YES,2017-02-02
CA,Canada,85952767,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PT,Portugal,40997648,YES,2016-05-27,NO,1900-01-01,NO,1900-01-01
UY,Uruguay,98658850,YES,2017-05-07,NO,1900-01-01,NO,1900-01-01
CH,Switzerland,38444444,YES,2016-07-21,YES,2016-07-20,YES,2016-01-01
HU,Hungary,1370240,YES,2017-06-11,NO,1900-01-01,YES,2017-01-10
AT,Austria,76110786,YES,2017-05-17,NO,1900-01-01,NO,1900-01-01
IS,Iceland,13955102,YES,2017-04-07,NO,1900-01-01,NO,1900-01-01
PT,Portugal,93724062,YES,2017-05-26,YES,2016-02-14,NO,1900-01-01
CY,Cyprus (Greek),35695986,YES,2016-03-08,NO,1900-01-01,YES,2017-03-27
TN,Tunisia,13785732,NO,1900-01-01,YES,2017-06-26,NO,1900-01-01
SE,Sweden,67244348,YES,2016-03-11,YES,2016-06-26,YES,2016-10-18
GL,Greenland,50794455,YES,2016-05-30,YES,2016-02-01,YES,2017-03-25
DE,Germany,9787190,YES,2016-04-12,YES,2017-02-02,YES,2017-07-01
CA,Canada,97345992,NO,1900-01-01,YES,2016-12-18,NO,1900-01-01
CY,Cyprus (Anglicized),60909513,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,69701284,NO,1900-01-01,YES,2016-07-19,YES,2017-05-28
EE,Estonia,38614550,YES,2016-11-24,YES,2016-01-04,NO,1900-01-01
PL,Poland,93834532,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
BE,Belgium,73512993,NO,1900-01-01,NO,1900-01-01,YES,2016-09-07
ZA,South Africa,34500421,YES,2016-12-08,YES,2016-09-16,YES,2016-02-11
IS,Iceland,58702739,NO,1900-01-01,YES,2017-06-02,NO,1900-01-01
ZA,South Africa,82870642,YES,2016-03-19,NO,1900-01-01,NO,1900-01-01
NZ,New Zealand,25181571,NO,1900-01-01,NO,1900-01-01,YES,2016-10-20
AT,Austria,27100649,NO,1900-01-01,YES,2017-06-10,NO,1900-01-01
PT,Portugal,54807744,NO,1900-01-01,YES,2017-01-27,NO,1900-01-01
ZA,South Africa,19071872,YES,2017-04-15,YES,2016-05-11,NO,1900-01-01
EE,Estonia,25117640,YES,2017-07-20,NO,1900-01-01,NO,1900-01-01
DK,Denmark,8937606,YES,2016-04-14,YES,2016-03-18,NO,1900-01-01
GB,United Kingdom,70314908,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
SI,Slovenia,3946446,YES,2016-01-02,NO,1900-01-01,NO,1900-01-01
IT,Italy,89173806,YES,2017-03-01,NO,1900-01-01,YES,2017-06-08
BR,Brazil,92054370,YES,2017-02-04,YES,2016-07-24,YES,2016-08-28
BR,Brazil,27066572,NO,1900-01-01,YES,2016-09-22,YES,2017-06-26
CA,Canada,40350296,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
PL,Poland,89081627,YES,2017-01-19,NO,1900-01-01,NO,1900-01-01
ES,Spain,18452450,NO,1900-01-01,YES,2017-03-01,NO,1900-01-01
SI,Slovenia,17207376,YES,2016-12-06,YES,2016-04-16,NO,1900-01-01
IS,Iceland,73465122,YES,2016-01-05,NO,1900-01-01,YES,2016-05-02
CZ,Czech Republic,52033998,YES,2017-04-24,NO,1900-01-01,YES,2017-07-24
ZA,South Africa,84180014,NO,1900-01-01,YES,2017-02-12,NO,1900-01-01
ES,Spain,28191005,NO,1900-01-01,NO,1900-01-01,YES,2016-12-13
CA,Canada,43118956,YES,2016-05-27,NO,1900-01-01,NO,1900-01-01
FR,France,97363064,NO,1900-01-01,NO,1900-01-01,YES,2016-05-07
GB,United Kingdom,83794073,NO,1900-01-01,YES,2017-04-17,NO,1900-01-01
CY,Cyprus (Greek),54974183,NO,1900-01-01,YES,2016-08-24,YES,2016-12-28
CZ,Czech Republic,38763447,NO,1900-01-01,YES,2016-12-27,NO,1900-01-01
AU,Australia,34269425,NO,1900-01-01,YES,2017-07-15,YES,2016-03-09
AT,Austria,3154938,YES,2016-09-04,NO,1900-01-01,YES,2016-04-20
UY,Uruguay,83101060,YES,2017-07-29,NO,1900-01-01,YES,2017-04-08
UY,Uruguay,71386522,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
DK,Denmark,14065788,NO,1900-01-01,NO,1900-01-01,YES,2016-07-27
EE,Estonia,90213369,YES,2017-06-06,YES,2017-02-04,YES,2016-04-20
PT,Portugal,7516031,NO,1900-01-01,YES,2016-08-15,NO,1900-01-01
ZA,South Africa,28685628,YES,2016-02-10,YES,2016-09-07,YES,2016-02-19
US,United States,54335239,YES,2016-10-02,YES,2016-09-28,NO,1900-01-01
AT,Austria,68770507,YES,2016-06-02,YES,2017-02-15,NO,1900-01-01
US,United States,35817717,YES,2016-12-21,NO,1900-01-01,NO,1900-01-01
DK,Denmark,7108462,YES,2016-12-15,YES,2016-10-19,NO,1900-01-01
DK,Denmark,69938158,YES,2017-01-28,YES,2016-07-27,YES,2017-06-22
PT,Portugal,80843051,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
IT,Italy,26505674,NO,1900-01-01,NO,1900-01-01,NO,1900-01-01
AU,Australia,6925215,NO,1900-01-01,YES,2016-11-09,YES,2016-06-20
DK,Denmark,43836268,YES,2016-02-22,YES,2016-09-23,NO,1900-01-01
BR,Brazil,82868554,YES,2016-08-19,YES,2016-07-01,NO,1900-01-01
AU,Australia,36336177,NO,1900-01-01,YES,2017-06-21,YES,2016-06-16
CH,Switzerland,3138128,NO,1900-01-01,YES,2017-02-21,YES,2016-01-28
ZA,South Africa,54249093,YES,2016-02-18,YES,2016-12-24,YES,2016-03-30
AU,Australia,15759800,NO,1900-01-01,YES,2016-03-09,YES,2016-12-09
EE,Estonia,72805682,YES,2016-01-12,YES,2017-07-15,YES,2016-09-25
CZ,Czech Republic,17723432,NO,1900-01-01,YES,2016-11-03,NO,1900-01-01
DK,Denmark,89912894,YES,2016-02-04,NO,1900-01-01,YES,2017-01-23
ZA,South Africa,43645483,NO,1900-01-01,YES,2017-06-21,NO,1900-01-01
CZ,Czech Republic,35999010,YES,2016-11-18,YES,2016-05-31,YES,2016-09-14
NO,Norway,98240724,YES,2017-04-24,YES,2016-04-22,YES,2017-07-22
NO,Norway,88405097,YES,2016-09-11,NO,1900-01-01,NO,1900-01-01
AT,Austria,51438119,NO,1900-01-01,YES,2016-03-31,YES,2016-12-08
DE,Germany,27424272,YES,2016-05-22,YES,2017-06-25,NO,1900-01-01
IS,Iceland,20153841,NO,1900-01-01,NO,1900-01-01,YES,2016-09-23
AT,Austria,3336104,NO,1900-01-01,YES,2016-07-02,YES,2016-10-01
DE,Germany,29363859,NO,1900-01-01,YES,2016-01-13,NO,1900-01-01
SI,Slovenia,32089905,NO,1900-01-01,YES,2016-11-15,YES,2017-07-28
FR,France,70343354,NO,1900-01-01,YES,2016-05-01,NO,1900-01-01
GL,Greenland,18111026,YES,2017-01-28,NO,1900-01-01,YES,2017-03-09
CH,Switzerland,14520005,YES,2017-02-05,NO,1900-01-01,YES,2017-06-24
IS,Iceland,49360789,YES,2016-12-20,NO,1900-01-01,YES,2016-06-03
BE,Belgium,99348927,YES,2016-12-18,NO,1900-01-01,NO,1900-01-01
CZ,Czech Republic,73165621,YES,2017-07-09,NO,1900-01-01,YES,2017-04-17
EE,Estonia,17892396,NO,1900-01-01,YES,2016-08-19,YES,2017-02-16
BE,Belgium,54460978,NO,1900-01-01,YES,2016-02-29,NO,1900-01-01
IT,Italy,64479214,YES,2016-12-16,NO,1900-01-01,YES,2017-05-10
CY,Cyprus (Greek),2733635,NO,1900-01-01,NO,1900-01-01,YES,2017-07-03
AT,Austria,11356101,NO,1900-01-01,YES,2017-03-15,YES,2016-07-15
CY,Cyprus (Anglicized),4763747,NO,1900-01-01,YES,2017-06-12,NO,1900-01-01
CH,Switzerland,56893929,YES,2016-09-16,NO,1900-01-01,NO,1900-01-01
CY,Cyprus (Greek),27154503,YES,2016-04-10,YES,2017-04-10,NO,1900-01-01
US,United States,40408138,YES,2016-11-24,NO,1900-01-01,NO,1900-01-01
GL,Greenland,27883396,YES,2016-12-21,NO,1900-01-01,YES,2017-03-03
ES,Spain,32847403,NO,1900-01-01,NO,1900-01-01,YES,2016-11-18
GL,Greenland,65824425,YES,2016-03-15,NO,1900-01-01,YES,2016-07-05
ES,Spain,86262926,NO,1900-01-01,NO,1900-01-01,YES,2016-08-26
SE,Sweden,70698825,NO,1900-01-01,YES,2016-07-30,YES,2016-10-09
NL,Netherlands,27516940,NO,1900-01-01,NO,1900-01-01,YES,2016-07-09
HU,Hungary,23602158,NO,1900-01-01,YES,2017-04-29,NO,1900-01-01
